"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/30/2019","Norton","NORTON *NP1285286802","99.99","debit","Electronics & Software","Venture","",""
"6/26/2019","Nissan","PORT CITY NISSAN INC.","149.95","debit","Service & Parts","Venture","",""
"6/25/2019","MORRISSEYS FRONT PORCH","MORRISSEYS FRONT PORCH","4.49","debit","Fast Food","Venture","",""
"6/24/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"6/24/2019","Old Navy","OLD NAVY ON-LINE","39.48","debit","Clothing","Venture","",""
"6/24/2019","Level Up","LEVELUP*TROPICALSMOOTH","14.68","debit","Fast Food","Venture","",""
"6/24/2019","E-ZPass","NH TURNPIKE EZ PASS","16.50","debit","State of NH","Venture","",""
"6/22/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"6/22/2019","Miltons","MILTON VETERINARY HOSPITA","297.08","debit","Veterinary","Venture","",""
"6/22/2019","Liberty Mutual","LIBERTY MUTUAL RECUR","150.58","debit","Auto Insurance","Venture","",""
"6/20/2019","C & J BUS LINES","C & J BUS LINES","23.98","debit","Public Transportation","Venture","",""
"6/19/2019","PP*East Coast Dance Cmplx","PP*East Coast Dance Cmplx","10.00","debit","Kids Activities","Venture","",""
"6/17/2019","TST* THE FARM BAR & GRILL","TST* THE FARM BAR & GRILL","60.00","debit","Restaurants","Venture","",""
"6/17/2019","Miltons","MILTON VETERINARY HOSPITA","74.45","debit","Veterinary","Venture","",""
"6/17/2019","MARGARITAS DOVER","MARGARITAS DOVER","55.78","debit","Restaurants","Venture","",""
"6/14/2019","NH LIQUOR STORE #14","NH LIQUOR STORE #14","27.99","debit","Alcohol & Bars","Venture","",""
"6/14/2019","Chili's","CHILI'S 0828 ECOMM","37.56","debit","Restaurants","Venture","",""
"6/13/2019","EXTREME HAIR","EXTREME HAIR","30.00","debit","Hair","Venture","",""
"6/13/2019","Level Up","LEVELUP*TROPICALSMOOTH","1.08","debit","Fast Food","Venture","",""
"6/12/2019","BROADVIEW ANIMAL HOSPITAL","BROADVIEW ANIMAL HOSPITAL","74.45","debit","Clothing","Venture","",""
"6/12/2019","iTunes","APL* ITUNES.COM/BILL","3.57","debit","Music","Venture","",""
"6/11/2019","CAPITAL ONE MOBILE payment AuthDate 11-J un","CAPITAL ONE MOBILE PYMT AuthDate 11-J un","2000.00","credit","Transfer","Venture","",""
"6/10/2019","Netflix","Netflix.com","12.99","debit","Subscriptions","Venture","",""
"6/10/2019","BROADVIEW ANIMAL HOSPITAL","BROADVIEW ANIMAL HOSPITAL","154.30","debit","Veterinary","Venture","",""
"6/08/2019","Prime Video*M61AM9T02","Prime Video*M61AM9T02","3.99","debit","Movies & DVDs","Venture","",""
"6/07/2019","Level Up","LEVELUP*TROPICALSMOOTH","6.53","debit","Fast Food","Venture","",""
"6/06/2019","iTunes","APL*ITUNES.COM/BILL","4.99","debit","Music","Venture","",""
"6/06/2019","Wal-Mart","WALMART.COM 8009666546","44.97","debit","Home Supplies/Servic","Venture","",""
"6/05/2019","Level Up","LEVELUP*TROPICALSMOOTH","6.53","debit","Fast Food","Venture","",""
"6/04/2019","Groupon","GROUPON INC","24.99","debit","Shopping","Venture","",""
"6/04/2019","DirecTV","ATT*BILL PAYMENT","63.48","debit","Cable/ Internet","Venture","",""
"6/04/2019","Wal-Mart","WALMART.COM 8009666546","16.15","debit","Baby Supplies","Venture","",""
"6/03/2019","Home Depot","THE HOME DEPOT #3489","61.13","debit","Home Supplies/Servic","Venture","",""
"5/31/2019","CHEGG ORDER","CHEGG  ORDER","14.95","debit","Subscriptions","Venture","",""
"5/29/2019","iTunes","APL*ITUNES.COM/BILL","7.74","debit","Music","Venture","",""
"5/27/2019","ORAS COFFEE AND ICE CREAM","ORAS COFFEE AND ICE CREAM","5.70","debit","Coffee Shops","Venture","",""
"5/27/2019","Liberty","LIBERTY CAFE W10183481","2.35","debit","Fast Food","Venture","",""
"5/27/2019","Burger King","BURGER KING #3617","10.13","debit","Fast Food","Venture","",""
"5/27/2019","Amazon","AMZN MKTP US*MN5DD0DB2 AM","14.95","debit","Baby Supplies","Venture","",""
"5/27/2019","STRAIGHTTALK*SERVICES","STRAIGHTTALK*SERVICES","138.10","debit","Mobile Phone","Venture","",""
"5/27/2019","KENS PIZZA","KENS PIZZA","58.00","debit","Restaurants","Venture","",""
"5/27/2019","City of Burlington","CITY OF BURLINGTON","4.50","debit","Parking","Venture","",""
